"sample","state","mean_meth"
"kidney","Enh_A",0.125229896301948
"kidney","Enh_P",0.422324770338728
"kidney","Enh_W",0.669901479216288
"kidney","Enh_ds",0.509962709753524
"kidney","Het_P",0.728423143865431
"kidney","Het_S",0.862123796392946
"kidney","Mix",0.788227729600242
"kidney","NS",0.837783700402748
"kidney","Pr_A",0.00947906372220924
"kidney","Pr_B",0.0513858090694553
"kidney","Pr_F",0.316951331046111
"kidney","Pr_W",0.270237196554318
"kidney","Tx_I",0.747473339658835
"kidney","Tx_S",0.898023772759574
"kidney","Tx_W",0.865149321667303
"liver","Enh_A",0.194180912623322
"liver","Enh_P",0.321956503880186
"liver","Enh_W",0.603441474839143
"liver","Enh_ds",0.569045606700863
"liver","Het_P",0.504816697466129
"liver","Het_S",0.622337662863781
"liver","Mix",0.702564541351485
"liver","NS",0.621438516302748
"liver","Pr_A",0.0135227173351387
"liver","Pr_B",0.038073556986831
"liver","Pr_F",0.329694518347339
"liver","Pr_W",0.253762503929659
"liver","Tx_I",0.746179872261705
"liver","Tx_S",0.812035429909099
"liver","Tx_W",0.738103541075791
