NM_001001181	BC031181
NM_001001320	Tbx10
NM_001001446	Cyp2c23
NM_001001488	Atp8b1
NM_001001737	Zfp950
NM_001001738	Itprip
NM_001001803	Spink7
NM_001001885	Tmem151a
NM_001001979	Megf10
NM_001001984	Kdm2a
NM_001002238	Tdrd1
NM_001002239	Rpl17
NM_001002240	Tdrd1
NM_001002241	Tdrd1
NM_001003671	Pcdhac1
NM_001003672	Pcdhac2
NM_001003933	Rtn3
NM_001003934	Rtn3
NM_001004061	Fam170a
NM_001004361	Tpgs2
NM_001005858	Ifit3b
NM_001008542	Mxi1
NM_001008543	Mxi1
NM_001009546	Naaladl1
NM_001011524	Olfr1418
NM_001011707	Cyp2c66
NM_001011775	Olfr1419
NM_001011788	Olfr1432
NM_001011831	Olfr1500
NM_001011832	Olfr1490
NM_001011839	Olfr1437
NM_001011840	Olfr1463
NM_001011841	Olfr1465
NM_001011842	Olfr1474
NM_001011850	Olfr1505
NM_001011853	Olfr1425
NM_001013019	Lrrn4cl
NM_001013754	Gm9949
NM_001013762	Gm4952
NM_001013770	Lipo3
NM_001013797	Spink6
NM_001013820	Slc22a28
NM_001013833	Prkg1
NM_001014981	Wdr7
NM_001024560	Snx32
NM_001024717	Gal3st3
NM_001024719	Cyp2c67
NM_001025245	Mbp
NM_001025251	Mbp
NM_001025254	Mbp
NM_001025255	Mbp
NM_001025256	Mbp
NM_001025258	Mbp
NM_001025259	Mbp
NM_001025307	Stx3
NM_001025381	Gpr17
NM_001025388	Eno1b
NM_001025391	Sufu
NM_001025610	Ms4a7
NM_001033128	Bbs1
NM_001033139	Spindoc
NM_001033141	Ecscr
NM_001033168	1700066B19Rik
NM_001033172	Rab11fip2
NM_001033174	Osbp
NM_001033222	Pdzd8
NM_001033280	Gm94
NM_001033281	Prdm6
NM_001033283	Oosp3
NM_001033341	Zfp407
NM_001033342	Cdc42bpg
NM_001033343	Sec31b
NM_001033407	Gm815
NM_001033426	Grxcr2
NM_001033445	Garem1
NM_001033446	Arl14epl
NM_001033447	Gm960
NM_001033448	Ap5b1
NM_001033481	Myrf
NM_001033532	AW554918
NM_001033573	Zdhhc6
NM_001033621	Myot
NM_001033759	Cemip2
NM_001033767	Gm4951
NM_001033789	Gm5820
NM_001034859	Gm4841
NM_001034898	Ms4a15
NM_001034962	Sorbs1
NM_001034963	Sorbs1
NM_001034964	Sorbs1
NM_001035239	Trpm3
NM_001035240	Trpm3
NM_001035241	Trpm3
NM_001035242	Trpm3
NM_001035243	Trpm3
NM_001035244	Trpm3
NM_001035245	Trpm3
NM_001035246	Trpm3
NM_001037294	Alpk2
NM_001037634	Oosp2
NM_001037758	Btrc
NM_001037801	Cd6
NM_001037859	Csf1r
NM_001038231	Banf1
NM_001038499	Arsi
NM_001038589	Usp14
NM_001038608	Txnl4a
NM_001039088	Seh1l
NM_001039149	Cd226
NM_001039173	Dok6
NM_001039201	Hdhd2
NM_001039202	Hdhd2
NM_001039214	Mex3c
NM_001039218	Spink14
NM_001039351	Nolc1
NM_001039352	Nolc1
NM_001039353	Nolc1
NM_001039474	Tcerg1
NM_001039485	Piezo2
NM_001039494	Catsperz
NM_001039555	Cyp2c68
NM_001039657	Tesmin
NM_001039658	Tesmin
NM_001039692	Arhgap12
NM_001039959	Ahnak
NM_001042408	Txnl4a
NM_001042418	Cabyr
NM_001042419	Cabyr
NM_001042420	Cabyr
NM_001042605	Cd74
NM_001042660	Smad7
NM_001042767	Proc
NM_001042768	Proc
NM_001043228	Dntt
NM_001043354	Rorb
NM_001048177	Jak2
NM_001048207	Gypc
NM_001048217	Spink11
NM_001078649	Tmem134
NM_001080388	Mark2
NM_001080389	Mark2
NM_001080390	Mark2
NM_001080706	Btaf1
NM_001081041	Vps51
NM_001081072	Slc27a6
NM_001081073	Cep76
NM_001081074	A1cf
NM_001081075	Fra10ac1
NM_001081076	Gucy2g
NM_001081077	Cwf19l1
NM_001081180	Spink5
NM_001081196	Hnrnpul2
NM_001081213	Ermp1
NM_001081214	Pprc1
NM_001081222	Esco1
NM_001081223	Rbbp8
NM_001081224	Prr16
NM_001081225	Slf2
NM_001081256	Kdm3b
NM_001081257	Hpse2
NM_001081271	Calhm1
NM_001081287	Mpp7
NM_001081291	Ccdc88b
NM_001081300	Tshz1
NM_001081319	Ric1
NM_001081328	Chsy3
NM_001081365	Cystm1
NM_001081371	Dmxl1
NM_001081403	Klhl14
NM_001081963	Jcad
NM_001082553	Rab27b
NM_001083317	Slc35a4
NM_001083334	Bin1
NM_001083628	Greb1l
NM_001083967	Tcf4
NM_001085373	Mcc
NM_001085374	Mcc
NM_001085390	Dusp5
NM_001098237	Zbtb3
NM_001099634	Myof
NM_001100449	Taf4b
NM_001101038	Siglec15
NM_001101475	F830016B08Rik
NM_001101605	Ifit1bl1
NM_001102471	Cnnm2
NM_001103177	Ablim1
NM_001103178	Ablim1
NM_001104525	Cyp2c69
NM_001105201	Cyp26c1
NM_001109743	Skor2
NM_001109975	Synpo
NM_001109988	Nrep
NM_001109989	Nrep
NM_001110015	Wdr36
NM_001110016	Wdr36
NM_001110273	Slc14a2
NM_001110274	Slc14a2
NM_001110504	Capn1
NM_001110517	Ifit1bl1
NM_001110791	Sf1
NM_001110850	Crem
NM_001110851	Crem
NM_001110852	Crem
NM_001110853	Crem
NM_001110854	Crem
NM_001110855	Crem
NM_001110856	Crem
NM_001110857	Crem
NM_001110858	Crem
NM_001110859	Crem
NM_001111100	Lipa
NM_001111140	Lrrc10b
NM_001111317	Tmem262
NM_001112697	Chrm1
NM_001113408	Ldb1
NM_001113562	Cutc
NM_001114174	Fam189a2
NM_001114312	Shtn1
NM_001114339	Pank1
NM_001114386	Nedd4l
NM_001114595	Ehbp1l1
NM_001114596	Ehbp1l1
NM_001114597	Ehbp1l1
NM_001127177	Ptpn2
NM_001127338	Aldh7a1
NM_001130525	Lzts2
NM_001130526	Lzts2
NM_001134697	Ctxn3
NM_001136064	Bscl2
NM_001136086	Dpysl3
NM_001136090	Poli
NM_001136091	Tcirg1
NM_001136181	Hsbp1l1
