chrom	start	end	nearest_gene	distance_to_tss	kidney_accessibility	liver_accessibility	accessibility_log2FC	accessibility_padj	accessibility_category	kidney_methylation	liver_methylation	methylation_difference	methylation_fdr	num_CpG_sites
chr19	40536440	40537317	Sorbs1	22660	1.40517560680279	2.83127807207156	-4.62827638552716	2.65362124804315e-59	more accessible in liver	0.831216692391717	0.158091458735848	0.673125233655869	0.000374753148786997	7
chr19	53464401	53465046	Dusp5	64062	1.52147335290045	2.05049510999065	-1.79464051751273	5.38948270950282e-08	not differential	0.815421785608668	0.0850312881562882	0.730390497452379	0.000482342168386913	4
chr18	82569664	82569913	Mbp	94517	1.58585913477073	2.8208007110254	-4.04276557763182	1.44450897358633e-26	more accessible in liver	0.940194200285478	0.139150733695006	0.801043466590473	0.000130214443854756	3
chr19	32487644	32488124	Minpp1	1874	1.65218173270237	2.62933744563632	-3.28004268419616	8.23252800096765e-35	more accessible in liver	0.883851894981636	0.154260005891177	0.729591889090458	0.000374753148786997	7
chr19	17014481	17015015	Prune2	58362	1.36956061898113	2.42535043761688	-3.54101821606571	3.67382398590626e-24	more accessible in liver	0.740804971176986	0.10474916014775	0.636055811029236	0.000518547029666861	5
chr19	34844842	34845136	Pank1	34318	1.40279466826365	2.44774564431946	-3.63312443100322	3.67720910299027e-17	more accessible in liver	0.869673653914307	0.140852138761622	0.728821515152685	0.000374753148786997	4
chr18	61789027	61789440	Afap1l1	2324	1.47546732555729	2.34037381152253	-3.02421368610913	9.2232498469668e-16	more accessible in liver	0.692348807672366	0.0651159123765671	0.627232895295799	0.000529405056061488	11
chr19	21897243	21897659	Tmem2	118900	1.53679796932849	2.01618499619626	-1.63372484163506	0.000254960813527891	not differential	0.69155553240928	0.0684923028078379	0.623063229601442	0.000518547029666861	7
chr19	9938565	9939500	Incenp	39031	1.68175601854406	2.52035189560061	-2.78398864350836	8.17168811141199e-27	not differential	0.746259145073667	0.126601264914636	0.619657880159031	0.000482342168386913	18
chr19	53414543	53414970	Smndc1	23969	1.70179239054078	2.41410058944335	-2.41069609777237	3.25854812821058e-13	not differential	0.793432056581971	0.138238116432143	0.655193940149828	0.000405523332092197	10
chr18	56977496	56978466	C330018D20Rik	2127	1.70051555479104	3.44782412269814	-5.80577589681474	1.05061493177246e-131	more accessible in liver	0.753798541551578	0.118457532686396	0.635341008865183	0.000574607302936831	8
chr19	36328751	36329018	Pcgf5	19290	1.29803020485252	2.07387676802617	-2.59174005307391	5.49479561103815e-07	not differential	0.723415330777516	0.107545346376711	0.615869984400805	0.000495092438219305	4
chr18	24290061	24290337	Galnt1	84716	1.55864659416199	1.86774246271815	-1.20355834352099	0.0202128695280424	not differential	0.801553823283699	0.112211469836977	0.689342353446722	0.000584233638594099	2
chr19	53799875	53800563	Pdcd4	91667	1.62368371244468	2.65412624683241	-3.42079018179399	2.63968406853473e-37	more accessible in liver	0.796903984340021	0.183073305407837	0.613830678932183	0.000560561869690486	17
chr18	82770983	82771544	Zfp236	78099	1.5158234521336	2.96394761292391	-4.86081483656816	1.95897097141077e-76	more accessible in liver	0.735088855681764	0.121416068079951	0.613672787601812	0.000374753148786997	5
chr18	78501798	78502358	Gm6133	152043	1.47221753168511	2.01548327816199	-1.75794799430933	2.1851420755586e-05	not differential	0.839513021358918	0.135144167081099	0.704368854277819	0.000584233638594099	6
chr18	70055125	70055432	Rab27b	86172	1.74703460691316	3.26801544493046	-4.98568267045021	8.94076508070647e-79	more accessible in liver	0.710562628834726	0.0978070936179758	0.61275553521675	0.000584233638594099	4
chr18	52790497	52790953	Sncaip	22787	1.59042886653564	2.0597629080118	-1.68432607147945	5.60971871294734e-06	not differential	0.758253194662527	0.131713664899121	0.626539529763406	0.000374753148786997	3
chr19	17334741	17335657	Gcnt1	21009	1.70233243150933	3.13720059305856	-4.74544226428293	3.37160241347615e-94	more accessible in liver	0.869590072565943	0.134306517381073	0.73528355518487	0.000608924061633973	16
chr18	24102573	24102847	Ino80c	19105	1.48737346111547	2.56856746561459	-3.66116269026267	6.71220333411082e-23	more accessible in liver	0.689935064935065	0.0792352744545272	0.610699790480538	0.000374753148786997	1
chr19	35151920	35152626	Kif20b	229558	1.56893623871952	2.35036796283607	-2.6855809367504	8.4154783827166e-21	not differential	0.787775612083502	0.141196588833485	0.646579023250016	0.000374753148786997	7
chr18	35152236	35152714	Ctnna1	33347	1.18790803861632	2.27788424006298	-3.66266275129481	2.37435117120969e-21	more accessible in liver	0.783469684385382	0.137467084457768	0.646002599927614	0.000459740073557777	2
chr19	60399182	60400162	Prlhr	68141	1.11112789694246	2.4780533211659	-4.56220443464356	1.50165476577441e-55	more accessible in liver	0.891339304071068	0.163369150935348	0.72797015313572	0.000130214443854756	3
chr18	34202256	34202524	Apc	18399	0.985412756843596	1.88071841294007	-2.48516686766108	0.000150405248807003	not differential	0.84095262037065	0.122184500648932	0.718768119721718	0.000641878327647418	5
chr18	62165995	62166791	Adrb2	13167	1.89580103286399	3.68936072904488	-5.74871780116208	1.29366003971151e-34	more accessible in liver	0.734650111890618	0.129367733313435	0.605282378577182	0.00046079380656888	6
chr18	82576313	82576993	Mbp	101166	1.44745702101544	2.55281278362876	-3.77542336898701	1.12095554477074e-31	more accessible in liver	0.840551346801347	0.151921206516795	0.688630140284552	0.000482342168386913	2
chr18	84069511	84069792	Tshz1	16611	2.00485989567561	1.5025007655164	1.45195440532675	0.00384050937317444	not differential	0.124593688810232	0.753628787587111	-0.629035098776879	0.00065141848037639	4
chr19	53184854	53186104	Add3	44408	1.72881319925094	2.95233813967641	-4.08903433581354	5.476643540377e-75	more accessible in liver	0.706899333658724	0.104173395155527	0.602725938503197	0.00063110442694291	12
chr19	40818108	40819196	Ccnj	12082	1.25391302610651	2.31997764271473	-3.65987167007574	2.24356643052118e-35	more accessible in liver	0.745372166061709	0.145411833308376	0.599960332753333	0.000474416172969667	12
chr18	57836975	57837459	Slc12a2	41218	1.47853355982004	2.37701985887753	-3.22259009159394	4.61662643850594e-17	more accessible in liver	0.730710495615246	0.131477012597964	0.599233483017282	0.000550636478994546	11
chr19	37523584	37523978	Exoc6	26439	1.52205987600972	2.31209692925712	-2.71991231599693	1.34288973222886e-13	not differential	0.683932854432514	0.067116052162406	0.616816802270108	0.000666757397174733	5
chr19	5268973	5269616	Pacs1	3502	1.36003177778959	2.60544487762385	-4.28302079191369	2.07265710486823e-40	more accessible in liver	0.86399037381678	0.161570001110417	0.702420372706363	0.000339733247005947	5
chr18	41924797	41925289	Prelid2	25904	1.13290377208384	1.98739158764778	-2.75587438307145	9.93330342820044e-10	not differential	0.846085989483879	0.154681421923641	0.691404567560238	0.000374753148786997	5
chr19	41813208	41813672	Arhgap19	11123	1.51336765880343	2.19641356970089	-2.39921794037742	1.72380679897598e-09	not differential	0.952666900093371	0.174378399378399	0.778288500714971	0.000374753148786997	1
chr19	53193978	53194706	Add3	53532	1.38715808760992	2.60614216622311	-4.02563731480146	1.06659729032177e-41	more accessible in liver	0.795476067208544	0.0959227442243	0.699553322984244	0.000682751968670413	11
chr18	70102787	70103189	Rab27b	38415	1.20162650541448	2.14971099554718	-3.14821801939579	8.445991674726e-12	more accessible in liver	0.800739117287231	0.148060138785945	0.652678978501286	0.00047690005518553	2
chr18	35154651	35155269	Ctnna1	35762	1.27607462588509	2.16557196769936	-2.9948349684348	7.01886949764174e-17	not differential	0.761603226817043	0.138652390780874	0.622950836036169	0.000482342168386913	1
chr18	54815672	54816018	Zfp608	174161	1.49771092602392	2.17756494403533	-2.38014116419325	1.90937345460627e-07	not differential	0.700629782503184	0.105335348098212	0.595294434404972	0.000427239922750905	6
chr18	64491030	64491572	Fech	1963	1.80628834800541	3.27511928992049	-4.8692218402977	2.6819453556148e-105	more accessible in liver	0.787958811554405	0.154417497359881	0.633541314194524	0.000518547029666861	8
chr18	34915804	34916406	Etf1	15600	1.39716652995281	2.25874675407555	-3.04952697310008	3.92380074209721e-18	more accessible in liver	0.872848707575913	0.132573309888539	0.740275397687374	0.000723176032359117	5
chr19	53801883	53802504	Pdcd4	89726	1.67444316796922	2.66512559932302	-3.34535509773155	2.31027277676175e-35	more accessible in liver	0.756542245921462	0.122720986831535	0.633821259089927	0.000723198465812875	4
chr18	64485542	64486321	Fech	2744	1.63776316799315	3.29840922291882	-5.41447852569418	2.12340331908814e-94	more accessible in liver	0.916315626196338	0.147455717781855	0.768859908414483	0.000723198465812875	3
chr18	54452592	54453224	Zfp608	536955	1.93175858508016	1.66283964773925	0.872349535628355	0.0127596526022783	not differential	0.151849531327431	0.74039450843117	-0.588544977103738	0.000714101741682574	16
chr19	32238685	32240620	Sgms1	149093	1.71796716348264	3.04112843307455	-4.40979067408085	1.3455594692649e-91	more accessible in liver	0.732615815088203	0.136416971875284	0.596198843212919	0.00047690005518553	17
chr19	32172354	32173094	Asah2	110884	1.58306097691068	2.77703993871671	-3.99493485150113	5.75450797075185e-61	more accessible in liver	0.879063784227598	0.173264175515429	0.70579960871217	0.00047690005518553	7
chr18	35056757	35057420	Ctnna1	61467	2.18610072518984	1.11974419376567	3.65563653426339	4.25321120209805e-17	more accessible in kidney	0.166619845707207	0.7699850791046	-0.603365233397393	0.000735002549561881	6
chr18	78335510	78336622	Gm6133	13131	1.51178900948653	3.09916057360958	-5.28194973635707	5.8754587593636e-108	more accessible in liver	0.879185549541283	0.234630366447024	0.64455518309426	0.000381746205959494	7
chr19	34711828	34712491	Slc16a12	34797	1.25748295690257	2.34111539317314	-3.62290443260377	5.35260678900983e-27	more accessible in liver	0.816355135725054	0.16408040603838	0.652274729686674	0.000374753148786997	3
chr19	60872039	60872850	Prdx3	1705	1.67905134022006	3.0005261651482	-4.31535369057548	9.60518498253607e-63	more accessible in liver	0.664056471155656	0.0868200095377876	0.577236461617868	0.000560561869690486	2
chr18	55393232	55393480	Zfp608	403051	1.84555502238666	1.57774323046888	0.571537831961103	0.315778577836982	not differential	0.0949882423603261	0.671272611796805	-0.576284369436479	0.000514292389386445	2
chr18	67592842	67593296	Spire1	17493	1.61960022889043	2.36278298777593	-2.51369813877499	1.11944367715663e-14	not differential	0.776322960709683	0.163916141663961	0.612406819045721	0.000641878327647418	3
chr18	64543050	64543823	Nars	26492	1.56768182017316	3.1445269638381	-5.05204973468951	2.6229084474132e-67	more accessible in liver	0.831421723502383	0.171119527449485	0.660302196052898	0.000474416172969667	12
chr18	5920157	5920492	Arhgap12	215605	1.33040519162874	2.29115433517954	-3.20494445890193	2.28300467529848e-13	more accessible in liver	0.764421591784397	0.148277837185355	0.616143754599041	0.000374753148786997	2
chr19	59899660	59900621	Rab11fip2	43032	1.37628263171468	2.67470243695323	-4.39789423503788	2.83967137534981e-63	more accessible in liver	0.884378264847015	0.183667258877088	0.700711005969926	0.000374753148786997	4
chr18	37925927	37926409	Diaph1	9066	1.10833316547072	2.21864052378228	-3.74546488281157	6.49804925160521e-18	more accessible in liver	0.771963802705641	0.0986825002823802	0.673281302423261	0.000791257378591407	3
chr18	49838979	49839463	Dmxl1	6308	1.17014877555287	2.38534808400103	-3.90701949804067	1.50137733444529e-27	more accessible in liver	0.702356150793651	0.132099351368454	0.570256799425196	0.000374753148786997	1
chr18	54468773	54469243	Zfp608	520936	1.08900178135852	2.65171182564795	-5.00870500133146	1.71146534378758e-38	more accessible in liver	0.819890359557248	0.162482565170737	0.657407794386511	0.000518547029666861	3
chr19	10699914	10700197	Vps37c	11098	1.69703243669215	2.41877883926714	-2.42406056141324	4.95797164251378e-13	not differential	0.696985913414853	0.127636118461862	0.569349794952991	0.0004234313026444	6
chr19	45527514	45527870	Poll	32660	1.48278958510422	2.09348027464335	-2.24961188847946	1.67493191858532e-07	not differential	0.862622326349445	0.173859129911819	0.688763196437626	0.000547887812177723	4
chr18	30444443	30445074	Pik3c3	171695	1.4301788150732	1.85814469027418	-1.29636420068642	0.00260572565778204	not differential	0.729728433565032	0.162477290315215	0.567251143249817	0.000381746205959494	3
chr19	43452692	43453433	Cnnm1	12255	1.29388497046864	2.87007337777207	-5.26902154424763	1.25528611642906e-64	more accessible in liver	0.857795228156239	0.190717665027914	0.667077563128325	0.000374753148786997	5
chr18	8132985	8133314	Wac	264152	1.02097446717266	2.13915457382195	-3.13964310080151	5.49253067544693e-10	more accessible in liver	0.6289592760181	0.0601397870268651	0.568819488991234	0.00081212685007628	1
chr18	32556674	32557238	Gypc	2795	1.73868263121219	3.38607119534112	-5.43879869991208	2.00676358189058e-129	more accessible in liver	0.860891289485172	0.180781518474134	0.680109771011038	0.000723198465812875	4
chr18	54277595	54278315	Csnk1g3	415481	1.90321978463426	1.02403271364318	2.94433413464086	7.99862572853779e-10	not differential	0.106713610196694	0.692613597056186	-0.585899986859492	0.000828766597188478	15
chr19	55861744	55862112	Tcf7l2	119933	1.46618269437495	2.84268571837618	-4.55670243529859	1.07148602099813e-43	more accessible in liver	0.685571813452248	0.124614953413445	0.560956860038804	0.000723198465812875	2
chr19	60799690	60800475	Eif3a	8996	1.26393779002409	2.6548976082497	-4.71713589095876	1.31775231032418e-52	more accessible in liver	0.803372587614306	0.169171178819637	0.63420140879467	0.000819888193434587	6
chr19	16478051	16478508	Gna14	42383	1.19501894607773	2.29382851508571	-3.64028884216334	1.93908146751842e-20	more accessible in liver	0.696016799514635	0.133278510337209	0.562738289177426	0.000784305746743028	6
chr19	46553468	46554101	Arl3	18983	1.46702061663801	2.67634925620081	-4.07679896531751	5.36966353509532e-42	more accessible in liver	0.783889097583552	0.12955494082478	0.654334156758772	0.000857185567038195	12
chr19	27907112	27907457	Rfx3	103708	1.21514839949775	2.10174276300927	-3.05111063783267	1.05877197689133e-09	more accessible in liver	0.68511824243945	0.129889980758592	0.555228261680858	0.000529405056061488	4
chr19	46956828	46957347	Ina	57350	1.37915163011109	2.54455860071725	-3.91129823105433	1.90568117893856e-33	more accessible in liver	0.859977089903432	0.178973023867934	0.681004066035497	0.000374753148786997	5
chr18	56870430	56871741	March3	53806	1.68016555782493	3.33633096610577	-5.38906353094616	5.34557097414235e-93	more accessible in liver	0.865074105378	0.199869207622422	0.665204897755578	0.000374753148786997	7
chr19	55938232	55938754	Tcf7l2	196421	1.51079058967344	3.25208340690509	-5.55031955535929	8.06135735544801e-28	more accessible in liver	0.899134171364463	0.208119149925454	0.691015021439009	0.000374753148786997	10
chr18	3270288	3271129	Crem	66618	1.51789898276517	2.80187186344624	-4.43427406215625	1.88406956957963e-46	more accessible in liver	0.685851466480221	0.132092285847864	0.553759180632357	0.000714101741682574	4
chr18	70000519	70001345	Ccdc68	75092	1.27691652199664	2.76622807678715	-5.03476707858695	4.05270529333471e-57	more accessible in liver	0.84582482740547	0.181563408768978	0.664261418636492	0.000374753148786997	7
chr19	29557414	29557820	Ric1	35131	1.47850624456978	2.11551247107171	-2.35324352004179	7.99988112813829e-09	not differential	0.90703481407905	0.189641693539057	0.717393120539993	0.000459740073557777	4
chr19	3392451	3392759	Tesmin	3593	1.47366371869916	2.8251493286608	-4.4836665790456	8.8497703509658e-40	more accessible in liver	0.856775210084034	0.149314632236833	0.7074605778472	0.000938899689371017	1
chr19	53479644	53479874	Dusp5	49234	1.67973862242882	1.88556344473598	-0.658090410971026	0.22478607096598	not differential	0.66481636402739	0.115618951700045	0.549197412327345	0.000881007791333515	6
chr18	50028041	50028997	Tnfaip8	48613	1.82123254786829	3.4739079741589	-5.36768637541699	3.57876186325971e-89	more accessible in liver	0.785796467112121	0.0976565547302951	0.688139912381826	0.000938899689371017	16
chr18	43650091	43650813	Jakmip2	36959	1.62797654662628	2.17683146662667	-1.67898871920909	1.5201930011839e-07	not differential	0.698677802309384	0.13100304246992	0.567674759839465	0.000949252360542511	6
chr19	32905745	32906044	Pten	148247	1.52328094213215	1.90551549791938	-1.35182960634175	0.00679384226578247	not differential	0.624339586630703	0.0173887607633738	0.606950825867329	0.000960353847654902	5
chr19	40812595	40814176	Ccnj	17102	1.35757614081632	2.86518035503959	-5.01829309351668	2.89416927440164e-110	more accessible in liver	0.71507535997202	0.167875332288815	0.547200027683205	0.000551946646848119	23
chr19	55865519	55866395	Tcf7l2	123708	1.63734363418411	2.84632636073678	-4.00669921835737	7.77716110259219e-59	more accessible in liver	0.845639378901741	0.253539405646611	0.59209997325513	0.000968334846231615	15
