chr	start	end	interval_id	num_peaks	num_samples	kidney_14_5_REP1.mLb.clN.bool	kidney_14_5_REP2.mLb.clN.bool	kidney_15_5_REP1.mLb.clN.bool	kidney_15_5_REP2.mLb.clN.bool	liver_14_5_REP1.mLb.clN.bool	liver_14_5_REP2.mLb.clN.bool	liver_15_5_REP1.mLb.clN.bool	liver_15_5_REP2.mLb.clN.bool	kidney_14_5_REP1.mLb.clN.fc	kidney_14_5_REP2.mLb.clN.fc	kidney_15_5_REP1.mLb.clN.fc	kidney_15_5_REP2.mLb.clN.fc	liver_14_5_REP1.mLb.clN.fc	liver_14_5_REP2.mLb.clN.fc	liver_15_5_REP1.mLb.clN.fc	liver_15_5_REP2.mLb.clN.fc	kidney_14_5_REP1.mLb.clN.qval	kidney_14_5_REP2.mLb.clN.qval	kidney_15_5_REP1.mLb.clN.qval	kidney_15_5_REP2.mLb.clN.qval	liver_14_5_REP1.mLb.clN.qval	liver_14_5_REP2.mLb.clN.qval	liver_15_5_REP1.mLb.clN.qval	liver_15_5_REP2.mLb.clN.qval	kidney_14_5_REP1.mLb.clN.pval	kidney_14_5_REP2.mLb.clN.pval	kidney_15_5_REP1.mLb.clN.pval	kidney_15_5_REP2.mLb.clN.pval	liver_14_5_REP1.mLb.clN.pval	liver_14_5_REP2.mLb.clN.pval	liver_15_5_REP1.mLb.clN.pval	liver_15_5_REP2.mLb.clN.pval	kidney_14_5_REP1.mLb.clN.start	kidney_14_5_REP2.mLb.clN.start	kidney_15_5_REP1.mLb.clN.start	kidney_15_5_REP2.mLb.clN.start	liver_14_5_REP1.mLb.clN.start	liver_14_5_REP2.mLb.clN.start	liver_15_5_REP1.mLb.clN.start	liver_15_5_REP2.mLb.clN.start	kidney_14_5_REP1.mLb.clN.end	kidney_14_5_REP2.mLb.clN.end	kidney_15_5_REP1.mLb.clN.end	kidney_15_5_REP2.mLb.clN.end	liver_14_5_REP1.mLb.clN.end	liver_14_5_REP2.mLb.clN.end	liver_15_5_REP1.mLb.clN.end	liver_15_5_REP2.mLb.clN.end	kidney_14_5_REP1.mLb.clN.summit	kidney_14_5_REP2.mLb.clN.summit	kidney_15_5_REP1.mLb.clN.summit	kidney_15_5_REP2.mLb.clN.summit	liver_14_5_REP1.mLb.clN.summit	liver_14_5_REP2.mLb.clN.summit	liver_15_5_REP1.mLb.clN.summit	liver_15_5_REP2.mLb.clN.summit
chr18	3166613	3166877	Interval_1	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	2.95742	NA	NA	NA	NA	NA	NA	NA	1.86581	NA	NA	NA	NA	NA	NA	NA	3.89392	NA	NA	NA	NA	NA	NA	NA	3166613	NA	NA	NA	NA	NA	NA	NA	3166877	NA	NA	NA	NA	NA	NA	NA	193	NA	NA	NA	NA	NA
chr18	3248831	3249131	Interval_2	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	2.9913	NA	NA	NA	NA	NA	NA	NA	2.99553	NA	NA	NA	NA	NA	NA	NA	5.05753	NA	NA	NA	NA	NA	NA	NA	3248831	NA	NA	NA	NA	NA	NA	NA	3249131	NA	NA	NA	NA	NA	NA	NA	56	NA	NA
chr18	3270287	3271129	Interval_3	4	4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	10.5121	13.6724	12.4926	9.53972	NA	NA	NA	NA	41.7735	194.097	59.698	26.9398	NA	NA	NA	NA	44.8091	197.169	62.5558	29.6739	NA	NA	NA	NA	3270415	3270287	3270512	3270510	NA	NA	NA	NA	3271129	3271053	3271046	3271016	NA	NA	NA	NA	393	523	300	295
chr18	3280577	3282022	Interval_4	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	7.35533	9.78717	9.51409	10.6712	5.15684	7.13902	7.91824	7.97371	18.3192	46.6977	47.3898	60.8569	6.84572	35.6841	23.2537	20.2383	21.4734	49.8738	50.686	64.2206	9.35124	38.1937	25.8342	22.889	3280729	3280724	3280643	3280577	3280798	3280648	3280768	3280790	3281316	3281537	3281512	3281786	3281277	3282022	3281450	3281460	130	368	426	475	256	389	178	193
chr18	3336690	3338116	Interval_5	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	7.67392	9.48832	9.24914	10.3574	13.5253	12.0865	14.6323	13.3314	43.0477	123.564	118.437	140.92	259.872	822.225	505.303	295.416	46.9829	127.738	122.672	145.231	264.52	826.786	509.831	300.002	3336818	3336722	3336695	3336690	3336754	3336733	3336754	3336752	3338088	3338086	3338116	3338059	3338059	3338069	3338040	3338040	556	710	702	708	644	699	679	678
chr18	3358927	3359253	Interval_6	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	3.56185	NA	NA	NA	NA	NA	NA	NA	3.42435	NA	NA	NA	NA	NA	NA	NA	5.58296	NA	NA	NA	NA	NA	NA	NA	3358927	NA	NA	NA	NA	NA	NA	NA	3359253	NA	NA	NA	NA	NA	NA	NA	241	NA	NA	NA	NA
chr18	3382717	3383857	Interval_7	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	7.79094	10.3263	10.1825	10.141	13.5604	15.9085	14.7712	14.3258	25.6754	68.0969	63.681	67.2748	72.573	306.084	126.912	90.8305	29.0758	71.5581	67.2103	70.7156	75.904	309.452	130.094	94.1089	3382749	3382749	3382717	3382749	3382749	3382744	3382860	3382777	3383815	3383833	3383857	3383855	3383805	3383753	3383829	3383810	441	460	456	460	460	423	330	414
chr18	3443881	3444296	Interval_8	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.11819	NA	NA	NA	NA	NA	NA	NA	2.4496	NA	NA	NA	NA	NA	NA	NA	4.54928	NA	NA	NA	NA	NA	NA	NA	3443881	NA	NA	NA	NA	NA	NA	NA	3444296	NA	NA	NA	NA	NA	NA	NA	137	NA	NA	NA	NA	NA
chr18	3463832	3464432	Interval_9	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	5.08528	4.5842	2.9336	NA	NA	NA	NA	NA	8.87155	7.13726	2.3344	NA	NA	NA	NA	NA	11.2954	9.5531	4.38323	NA	NA	NA	NA	NA	3463832	3463918	3464063	NA	NA	NA	NA	NA	3464289	3464345	3464432	NA	NA	NA	NA	NA	190	119	343	NA	NA	NA	NA
chr18	3495576	3495873	Interval_10	2	2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4.05824	3.44577	NA	NA	NA	NA	NA	NA	4.48245	4.29862	NA	NA	NA	NA	NA	NA	7.01735	6.4994	NA	NA	NA	NA	NA	NA	3495644	3495576	NA	NA	NA	NA	NA	NA	3495873	3495845	NA	NA	NA	NA	NA	NA	25	140	NA	NA	NA	NA	NA	NA
