PeakID (cmd=annotatePeaks.pl liver_14_5_REP1.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_14_5_REP1.mLb.clN_peak_941	chr19	11965154	11965962	+	7290	NA	promoter-TSS (Osbp)	-promoter-TSS (Osbp)	-286	Osbp	Osbp	NM_001033174			Osbp			NA
liver_14_5_REP1.mLb.clN_peak_256	chr18	36559500	36560819	+	5248	NA	promoter-TSS (Ankhd1)	-promoter-TSS (Ankhd1)	-444	Ankhd1	Ankhd1	NM_175375			Ankhd1			NA
liver_14_5_REP1.mLb.clN_peak_193	chr18	32542176	32543157	+	4204	NA	intron (Gypc, intron 1 of 2)	-intron (Gypc, intron 1 of 2)	17368	Gypc	Gypc	NM_001048207			Gypc			NA
liver_14_5_REP1.mLb.clN_peak_843	chr19	7039586	7040536	+	4169	NA	promoter-TSS (Stip1)	-promoter-TSS (Stip1)	-35	Stip1	Stip1	NM_016737			Stip1			NA
liver_14_5_REP1.mLb.clN_peak_954	chr19	14597990	14598941	+	3935	NA	promoter-TSS (Tle4)	-promoter-TSS (Tle4)	-282	Tle4	Tle4	NM_001302947			Tle4			NA
liver_14_5_REP1.mLb.clN_peak_337	chr18	49832262	49833113	+	3886	NA	promoter-TSS (Dmxl1)	-promoter-TSS (Dmxl1)	-310	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
liver_14_5_REP1.mLb.clN_peak_43	chr18	6764732	6765485	+	3741	NA	promoter-TSS (Rab18)	-promoter-TSS (Rab18)	-59	Rab18	Rab18	NM_181070			Rab18			NA
liver_14_5_REP1.mLb.clN_peak_654	chr18	84850917	84851831	+	3502	NA	promoter-TSS (Cyb5a)	-promoter-TSS (Cyb5a)	36	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
liver_14_5_REP1.mLb.clN_peak_543	chr18	73815195	73815990	+	3497	NA	promoter-TSS (Me2)	-promoter-TSS (Me2)	-154	Me2	Me2	NR_157387			Me2			NA
liver_14_5_REP1.mLb.clN_peak_305	chr18	42511054	42511957	+	3414	NA	promoter-TSS (Tcerg1)	-promoter-TSS (Tcerg1)	18	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
liver_14_5_REP1.mLb.clN_peak_722	chr19	4510055	4510796	+	3408	NA	promoter-TSS (Pcx)	-promoter-TSS (Pcx)	-11842	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
liver_14_5_REP1.mLb.clN_peak_432	chr18	62166023	62166685	+	3406	NA	Intergenic	Intergenic	13627	Adrb2	Adrb2	NM_007420			Adrb2			NA
liver_14_5_REP1.mLb.clN_peak_380	chr18	56925018	56926035	+	3390	NA	promoter-TSS (Marchf3)	-promoter-TSS (Marchf3)	-11	Marchf3	Marchf3	NM_001374227			Marchf3			NA
liver_14_5_REP1.mLb.clN_peak_656	chr18	84884638	84885653	+	3294	NA	Intergenic	Intergenic	33807	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
liver_14_5_REP1.mLb.clN_peak_335	chr18	49755227	49756179	+	3279	NA	promoter-TSS (Dtwd2)	-promoter-TSS (Dtwd2)	-102	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
liver_14_5_REP1.mLb.clN_peak_1225	chr19	43674652	43675890	+	3133	NA	promoter-TSS (Slc25a28)	-promoter-TSS (Slc25a28)	93	BC037704	BC037704	NR_045645			BC037704			NA
liver_14_5_REP1.mLb.clN_peak_537	chr18	73571999	73573495	+	3119	NA	promoter-TSS (Mex3c)	-promoter-TSS (Mex3c)	42	Mex3c	Mex3c	NM_001039214			Mex3c			NA
liver_14_5_REP1.mLb.clN_peak_180	chr18	31633932	31635253	+	2842	NA	promoter-TSS (Sap130)	-promoter-TSS (Sap130)	224	Sap130	Sap130	NM_172965			Sap130			NA
liver_14_5_REP1.mLb.clN_peak_1223	chr19	43524298	43525188	+	2789	NA	promoter-TSS (Got1)	-promoter-TSS (Got1)	-138	Got1	Got1	NM_010324			Got1			NA
liver_14_5_REP1.mLb.clN_peak_51	chr18	7626420	7627220	+	2747	NA	promoter-TSS (Mpp7)	-promoter-TSS (Mpp7)	-18666	Mpp7	Mpp7	NM_001081287			Mpp7			NA
liver_14_5_REP1.mLb.clN_peak_304	chr18	42274886	42275775	+	2738	NA	promoter-TSS (Rbm27)	-promoter-TSS (Rbm27)	-23	Rbm27	Rbm27	NM_172626			Rbm27			NA
liver_14_5_REP1.mLb.clN_peak_994	chr19	21652728	21653609	+	2698	NA	promoter-TSS (1110059E24Rik)	-promoter-TSS (1110059E24Rik)	-141	Abhd17b	Abhd17b	NM_146096			Abhd17b			NA
liver_14_5_REP1.mLb.clN_peak_286	chr18	38296543	38297191	+	2683	NA	promoter-TSS (Rnf14)	-promoter-TSS (Rnf14)	232	Rnf14	Rnf14	NM_001361267			Rnf14			NA
liver_14_5_REP1.mLb.clN_peak_499	chr18	67723983	67724817	+	2626	NA	intron (Ptpn2, intron 1 of 9)	-intron (Ptpn2, intron 1 of 8)	221	Ptpn2	Ptpn2	NM_001127177			Ptpn2			NA
liver_14_5_REP1.mLb.clN_peak_1174	chr19	40513302	40514116	+	2610	NA	promoter-TSS (Sorbs1)	-promoter-TSS (Sorbs1)	27	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
liver_14_5_REP1.mLb.clN_peak_3	chr18	3336755	3338059	+	2598	NA	exon (Crem, exon 1 of 5)	-exon (Crem, exon 1 of 5)	991	Gm6225	Gm6225	NR_033457			Gm6225			NA
liver_14_5_REP1.mLb.clN_peak_658	chr18	84951245	84952318	+	2593	NA	promoter-TSS (Fbxo15)	-promoter-TSS (Fbxo15)	-257	Timm21	Timm21	NR_160856			Timm21			NA
liver_14_5_REP1.mLb.clN_peak_140	chr18	21299644	21300860	+	2516	NA	promoter-TSS (Garem1)	-promoter-TSS (Garem1)	-113	Garem1	Garem1	NM_001033445			Garem1			NA
liver_14_5_REP1.mLb.clN_peak_1209	chr19	42090048	42090792	+	2504	NA	promoter-TSS (Pi4k2a)	-promoter-TSS (Pi4k2a)	-15	Pi4k2a	Pi4k2a	NM_145501			Pi4k2a			NA
liver_14_5_REP1.mLb.clN_peak_434	chr18	62179699	62180487	+	2492	NA	promoter-TSS (Gm9949)	-promoter-TSS (Gm9949)	-7	Gm9949	Gm9949	NM_001013754			Gm9949			NA
liver_14_5_REP1.mLb.clN_peak_822	chr19	6363307	6364139	+	2469	NA	promoter-TSS (Sf1)	-promoter-TSS (Sf1)	33	Sf1	Sf1	NR_122118			Sf1			NA
liver_14_5_REP1.mLb.clN_peak_36	chr18	5989665	5990213	+	2382	NA	Intergenic	Intergenic	146159	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
liver_14_5_REP1.mLb.clN_peak_891	chr19	8966611	8967395	+	2366	NA	promoter-TSS (Eef1g)	-promoter-TSS (Eef1g)	-38	Eef1g	Eef1g	NM_026007			Eef1g			NA
liver_14_5_REP1.mLb.clN_peak_723	chr19	4558261	4559226	+	2336	NA	intron (Pcx, intron 2 of 20)	-intron (Pcx, intron 2 of 20)	-35576	Pcx	Pcx	NM_001162946			Pcx			NA
liver_14_5_REP1.mLb.clN_peak_1041	chr19	29100910	29101684	+	2335	NA	promoter-TSS (Rcl1)	-promoter-TSS (Rcl1)	-78	Rcl1	Rcl1	NM_021525			Rcl1			NA
liver_14_5_REP1.mLb.clN_peak_284	chr18	38250006	38250721	+	2328	NA	promoter-TSS (1700086O06Rik)	-promoter-TSS (1700086O06Rik)	114	Dele1	Dele1	NM_024179			Dele1			NA
liver_14_5_REP1.mLb.clN_peak_416	chr18	61554847	61555678	+	2311	NA	promoter-TSS (Csnk1a1)	-promoter-TSS (Csnk1a1)	-11	Csnk1a1	Csnk1a1	NM_001357498			Csnk1a1			NA
liver_14_5_REP1.mLb.clN_peak_476	chr18	65800031	65800951	+	2300	NA	promoter-TSS (Sec11c)	-promoter-TSS (Sec11c)	-87	Sec11c	Sec11c	NM_025468			Sec11c			NA
liver_14_5_REP1.mLb.clN_peak_132	chr18	21001315	21002305	+	2286	NA	promoter-TSS (Rnf138)	-promoter-TSS (Rnf138)	-147	Rnf138	Rnf138	NM_207623			Rnf138			NA
liver_14_5_REP1.mLb.clN_peak_702	chr19	4096811	4097708	+	2264	NA	promoter-TSS (Cdk2ap2)	-promoter-TSS (Cdk2ap2)	-92	Cdk2ap2	Cdk2ap2	NM_026373			Cdk2ap2			NA
liver_14_5_REP1.mLb.clN_peak_1332	chr19	53142199	53143003	+	2201	NA	promoter-TSS (Add3)	-promoter-TSS (Add3)	-1396	Add3	Add3	NM_001164100			Add3			NA
liver_14_5_REP1.mLb.clN_peak_973	chr19	17323148	17324101	+	2182	NA	Intergenic	Intergenic	33043	Gcnt1	Gcnt1	NM_173442			Gcnt1			NA
liver_14_5_REP1.mLb.clN_peak_689	chr19	3912473	3913156	+	2179	NA	promoter-TSS (Ndufs8)	-promoter-TSS (Ndufs8)	-40	Ndufs8	Ndufs8	NM_001271443			Ndufs8			NA
liver_14_5_REP1.mLb.clN_peak_832	chr19	6921579	6922422	+	2169	NA	promoter-TSS (Esrra)	-promoter-TSS (Esrra)	-192	Esrra	Esrra	NM_007953			Esrra			NA
liver_14_5_REP1.mLb.clN_peak_265	chr18	36801512	36802090	+	2137	NA	promoter-TSS (Vaultrc5)	-promoter-TSS (Vaultrc5)	38	Vaultrc5	Vaultrc5	NR_027885			Vaultrc5			NA
liver_14_5_REP1.mLb.clN_peak_1343	chr19	53390153	53390959	+	2134	NA	promoter-TSS (Smndc1)	-promoter-TSS (Smndc1)	78	Smndc1	Smndc1	NM_172429			Smndc1			NA
liver_14_5_REP1.mLb.clN_peak_1311	chr19	47402697	47403639	+	2132	NA	intron (Sh3pxd2a, intron 2 of 14)	-intron (Sh3pxd2a, intron 2 of 13)	61243	Sh3pxd2a	Sh3pxd2a	NM_001164717			Sh3pxd2a			NA
liver_14_5_REP1.mLb.clN_peak_594	chr18	77938004	77938802	+	2124	NA	promoter-TSS (Epg5)	-promoter-TSS (Epg5)	-63	Epg5	Epg5	NM_001195633			Epg5			NA
liver_14_5_REP1.mLb.clN_peak_336	chr18	49778253	49779399	+	2112	NA	Intergenic	Intergenic	-23225	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
liver_14_5_REP1.mLb.clN_peak_1434	chr19	59943071	59943912	+	2112	NA	promoter-TSS (Rab11fip2)	-promoter-TSS (Rab11fip2)	163	Rab11fip2	Rab11fip2	NM_001033172			Rab11fip2			NA
liver_14_5_REP1.mLb.clN_peak_876	chr19	8785843	8786546	+	2102	NA	intron (Taf6l, intron 1 of 11)	-intron (Taf6l, intron 1 of 11)	122	Taf6l	Taf6l	NM_146092			Taf6l			NA
liver_14_5_REP1.mLb.clN_peak_41	chr18	6515956	6516606	+	2097	NA	promoter-TSS (Epc1)	-promoter-TSS (Epc1)	-25424	Epc1	Epc1	NM_027497			Epc1			NA
liver_14_5_REP1.mLb.clN_peak_611	chr18	80206542	80207251	+	2080	NA	promoter-TSS (Txnl4a)	-promoter-TSS (Txnl4a)	50	Txnl4a	Txnl4a	NM_178604			Txnl4a			NA
liver_14_5_REP1.mLb.clN_peak_223	chr18	34931607	34932462	+	2078	NA	promoter-TSS (Etf1)	-promoter-TSS (Etf1)	-31	Etf1	Etf1	NM_144866			Etf1			NA
liver_14_5_REP1.mLb.clN_peak_1226	chr19	43689488	43690059	+	2073	NA	promoter-TSS (Entpd7)	-promoter-TSS (Entpd7)	84	Entpd7	Entpd7	NM_053103			Entpd7			NA
liver_14_5_REP1.mLb.clN_peak_1206	chr19	41932893	41933759	+	2071	NA	promoter-TSS (Exosc1)	-promoter-TSS (Exosc1)	-12	Exosc1	Exosc1	NM_001320231			Exosc1			NA
liver_14_5_REP1.mLb.clN_peak_323	chr18	46525267	46526546	+	2060	NA	promoter-TSS (Fem1c)	-promoter-TSS (Fem1c)	65	Fem1c	Fem1c	NM_173423			Fem1c			NA
liver_14_5_REP1.mLb.clN_peak_300	chr18	40219052	40219670	+	2041	NA	promoter-TSS (Yipf5)	-promoter-TSS (Yipf5)	38	Yipf5	Yipf5	NM_023311			Yipf5			NA
liver_14_5_REP1.mLb.clN_peak_303	chr18	42261859	42262606	+	2026	NA	promoter-TSS (Lars)	-promoter-TSS (Lars)	-107	Lars	Lars	NM_134137			Lars			NA
liver_14_5_REP1.mLb.clN_peak_357	chr18	53744345	53745136	+	2007	NA	promoter-TSS (Cep120)	-promoter-TSS (Cep120)	-132	Cep120	Cep120	NM_178686			Cep120			NA
liver_14_5_REP1.mLb.clN_peak_987	chr19	18712799	18713587	+	1980	NA	promoter-TSS (D030056L22Rik)	-promoter-TSS (D030056L22Rik)	-43	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
liver_14_5_REP1.mLb.clN_peak_1048	chr19	29251220	29252136	+	1973	NA	promoter-TSS (Jak2)	-promoter-TSS (Jak2)	-125	Jak2	Jak2	NM_001048177			Jak2			NA
liver_14_5_REP1.mLb.clN_peak_877	chr19	8802102	8802793	+	1971	NA	promoter-TSS (Zbtb3)	-promoter-TSS (Zbtb3)	-66	Zbtb3	Zbtb3	NM_001098237			Zbtb3			NA
liver_14_5_REP1.mLb.clN_peak_1034	chr19	28010750	28012337	+	1963	NA	promoter-TSS (Rfx3)	-promoter-TSS (Rfx3)	-377	Rfx3	Rfx3	NM_001360358			Rfx3			NA
liver_14_5_REP1.mLb.clN_peak_1068	chr19	31082440	31083214	+	1948	NA	promoter-TSS (Cstf2t)	-promoter-TSS (Cstf2t)	-14	Cstf2t	Cstf2t	NM_031249			Cstf2t			NA
liver_14_5_REP1.mLb.clN_peak_1294	chr19	46760923	46761883	+	1947	NA	promoter-TSS (Cnnm2)	-promoter-TSS (Cnnm2)	-206	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
liver_14_5_REP1.mLb.clN_peak_1257	chr19	45782754	45784034	+	1946	NA	exon (Oga, exon 1 of 16)	-exon (Oga, exon 1 of 16)	159	Oga	Oga	NR_151594			Oga			NA
liver_14_5_REP1.mLb.clN_peak_1429	chr19	59360573	59360994	+	1939	NA	Intergenic	Intergenic	-15003	Pdzd8	Pdzd8	NM_001033222			Pdzd8			NA
liver_14_5_REP1.mLb.clN_peak_427	chr18	61952712	61953452	+	1926	NA	promoter-TSS (Sh3tc2)	-promoter-TSS (Sh3tc2)	7	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
liver_14_5_REP1.mLb.clN_peak_343	chr18	50028107	50028920	+	1915	NA	intron (Tnfaip8, intron 1 of 2)	-intron (Tnfaip8, intron 1 of 1)	-24769	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
liver_14_5_REP1.mLb.clN_peak_474	chr18	65430282	65431502	+	1912	NA	promoter-TSS (Malt1)	-promoter-TSS (Malt1)	-98	Malt1	Malt1	NM_001365019			Malt1			NA
liver_14_5_REP1.mLb.clN_peak_1019	chr19	24961364	24961944	+	1909	NA	promoter-TSS (Cbwd1)	-promoter-TSS (Cbwd1)	-38	Cbwd1	Cbwd1	NM_146097			Cbwd1			NA
liver_14_5_REP1.mLb.clN_peak_1207	chr19	41980636	41981874	+	1908	NA	promoter-TSS (Mms19)	-promoter-TSS (Mms19)	-125	Mms19	Mms19	NR_164197			Mms19			NA
liver_14_5_REP1.mLb.clN_peak_1249	chr19	45363428	45364124	+	1907	NA	promoter-TSS (Btrc)	-promoter-TSS (Btrc)	42	Btrc	Btrc	NM_001360120			Btrc			NA
liver_14_5_REP1.mLb.clN_peak_436	chr18	62548302	62549105	+	1897	NA	promoter-TSS (Spink10)	-promoter-TSS (Spink10)	160	Fbxo38	Fbxo38	NM_001361090			Fbxo38			NA
liver_14_5_REP1.mLb.clN_peak_585	chr18	77732261	77733198	+	1889	NA	intron (A330094K24Rik, intron 1 of 1)	-intron (A330094K24Rik, intron 1 of 1)	741	A330094K24Rik	A330094K24Rik	NR_155289			A330094K24Rik			NA
liver_14_5_REP1.mLb.clN_peak_1237	chr19	44266674	44267523	+	1884	NA	Intergenic	Intergenic	-26578	Scd2	Scd2	NM_009128			Scd2			NA
liver_14_5_REP1.mLb.clN_peak_555	chr18	75005452	75006140	+	1883	NA	promoter-TSS (BC031181)	-promoter-TSS (BC031181)	-43	BC031181	BC031181	NM_001001181			BC031181			NA
liver_14_5_REP1.mLb.clN_peak_1238	chr19	44283947	44284854	+	1880	NA	Intergenic	Intergenic	-9276	Scd2	Scd2	NM_009128			Scd2			NA
liver_14_5_REP1.mLb.clN_peak_62	chr18	9449334	9450511	+	1833	NA	exon (Ccny, exon 1 of 10)	-exon (Ccny, exon 1 of 10)	232	Ccny	Ccny	NM_026484			Ccny			NA
liver_14_5_REP1.mLb.clN_peak_377	chr18	56870641	56871478	+	1824	NA	intron (Marchf3, intron 1 of 4)	-intron (Marchf3, intron 1 of 4)	54456	Marchf3	Marchf3	NM_001374227			Marchf3			NA
liver_14_5_REP1.mLb.clN_peak_147	chr18	23803599	23804396	+	1819	NA	promoter-TSS (Mapre2)	-promoter-TSS (Mapre2)	27	Mapre2	Mapre2	NM_153058			Mapre2			NA
liver_14_5_REP1.mLb.clN_peak_73	chr18	10181388	10182442	+	1816	NA	promoter-TSS (Rock1)	-promoter-TSS (Rock1)	-123	Rock1	Rock1	NM_009071			Rock1			NA
liver_14_5_REP1.mLb.clN_peak_547	chr18	74215773	74216647	+	1810	NA	promoter-TSS (Cxxc1)	-promoter-TSS (Cxxc1)	-2	Cxxc1	Cxxc1	NM_028868			Cxxc1			NA
liver_14_5_REP1.mLb.clN_peak_381	chr18	56977732	56978404	+	1790	NA	Intergenic	Intergenic	-2689	C330018D20Rik	C330018D20Rik	NM_029909			C330018D20Rik			NA
liver_14_5_REP1.mLb.clN_peak_515	chr18	68299742	68300647	+	1784	NA	promoter-TSS (Rnmt)	-promoter-TSS (Rnmt)	139	Fam210a	Fam210a	NM_153794			Fam210a			NA
liver_14_5_REP1.mLb.clN_peak_157	chr18	24121103	24122201	+	1777	NA	exon (Ino80c, exon 1 of 5)	-exon (Ino80c, exon 1 of 5)	167	Ino80c	Ino80c	NM_172625			Ino80c			NA
liver_14_5_REP1.mLb.clN_peak_529	chr18	70529824	70530686	+	1728	NA	promoter-TSS (Poli)	-promoter-TSS (Poli)	66	Poli	Poli	NM_001289516			Poli			NA
liver_14_5_REP1.mLb.clN_peak_878	chr19	8819286	8820884	+	1725	NA	promoter-TSS (Ttc9c)	-promoter-TSS (Ttc9c)	684	Hnrnpul2	Hnrnpul2	NM_001081196			Hnrnpul2			NA
liver_14_5_REP1.mLb.clN_peak_730	chr19	4811021	4812085	+	1724	NA	promoter-TSS (Gm21992)	-promoter-TSS (Gm21992)	46	Gm21992	Gm21992	NM_001290128			Gm21992			NA
liver_14_5_REP1.mLb.clN_peak_239	chr18	35771115	35772162	+	1722	NA	promoter-TSS (Ube2d2a)	-promoter-TSS (Ube2d2a)	79	Ube2d2a	Ube2d2a	NM_019912			Ube2d2a			NA
liver_14_5_REP1.mLb.clN_peak_762	chr19	5510217	5510982	+	1717	NA	promoter-TSS (Snx32)	-promoter-TSS (Snx32)	-82	Snx32	Snx32	NM_001024560			Snx32			NA
liver_14_5_REP1.mLb.clN_peak_991	chr19	21271561	21273039	+	1702	NA	promoter-TSS (Zfand5)	-promoter-TSS (Zfand5)	22	Zfand5	Zfand5	NM_009551			Zfand5			NA
liver_14_5_REP1.mLb.clN_peak_67	chr18	10029194	10030296	+	1700	NA	promoter-TSS (Usp14)	-promoter-TSS (Usp14)	404	Usp14	Usp14	NM_001038589			Usp14			NA
liver_14_5_REP1.mLb.clN_peak_5	chr18	3507464	3508273	+	1697	NA	promoter-TSS (Bambi)	-promoter-TSS (Bambi)	-89	Bambi	Bambi	NM_026505			Bambi			NA
liver_14_5_REP1.mLb.clN_peak_1396	chr19	55941407	55941946	+	1692	NA	Intergenic	Intergenic	199866	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
liver_14_5_REP1.mLb.clN_peak_978	chr19	17393726	17394557	+	1673	NA	promoter-TSS (Rfk)	-promoter-TSS (Rfk)	98	Rfk	Rfk	NM_019437			Rfk			NA
liver_14_5_REP1.mLb.clN_peak_1321	chr19	47730754	47731965	+	1663	NA	promoter-TSS (Sfr1)	-promoter-TSS (Sfr1)	-397	Sfr1	Sfr1	NM_026377			Sfr1			NA
liver_14_5_REP1.mLb.clN_peak_134	chr18	21152119	21152657	+	1663	NA	intron (Garem1, intron 3 of 5)	-intron (Garem1, intron 3 of 5)	80044	Mep1b	Mep1b	NM_008586			Mep1b			NA
liver_14_5_REP1.mLb.clN_peak_47	chr18	7132557	7133320	+	1662	NA	intron (Armc4, intron 18 of 20)	-intron (Armc4, intron 18 of 20)	-128159	Mkx	Mkx	NM_177595			Mkx			NA
liver_14_5_REP1.mLb.clN_peak_677	chr19	3575410	3576402	+	1659	NA	promoter-TSS (Ppp6r3)	-promoter-TSS (Ppp6r3)	-157	Ppp6r3	Ppp6r3	NM_001360429			Ppp6r3			NA
liver_14_5_REP1.mLb.clN_peak_1108	chr19	34656363	34657119	+	1659	NA	Intergenic	Intergenic	15852	Ifit1	Ifit1	NM_008331			Ifit1			NA
liver_14_5_REP1.mLb.clN_peak_445	chr18	63691867	63692800	+	1625	NA	promoter-TSS (Txnl1)	-promoter-TSS (Txnl1)	26	Txnl1	Txnl1	NM_016792			Txnl1			NA
liver_14_5_REP1.mLb.clN_peak_1269	chr19	46152094	46152793	+	1625	NA	promoter-TSS (Gbf1)	-promoter-TSS (Gbf1)	-115	Gbf1	Gbf1	NM_178930			Gbf1			NA
liver_14_5_REP1.mLb.clN_peak_729	chr19	4793460	4794406	+	1617	NA	promoter-TSS (Rbm4)	-promoter-TSS (Rbm4)	-32	Rbm4	Rbm4	NM_009032			Rbm4			NA
liver_14_5_REP1.mLb.clN_peak_695	chr19	4012460	4013302	+	1602	NA	promoter-TSS (Ndufv1)	-promoter-TSS (Ndufv1)	-126	Ndufv1	Ndufv1	NM_133666			Ndufv1			NA
liver_14_5_REP1.mLb.clN_peak_948	chr19	12573036	12573750	+	1599	NA	promoter-TSS (Fam111a)	-promoter-TSS (Fam111a)	-132	Fam111a	Fam111a	NM_001346545			Fam111a			NA
liver_14_5_REP1.mLb.clN_peak_980	chr19	18631358	18632182	+	1588	NA	promoter-TSS (Ostf1)	-promoter-TSS (Ostf1)	43	Ostf1	Ostf1	NM_017375			Ostf1			NA
liver_14_5_REP1.mLb.clN_peak_837	chr19	6979594	6980821	+	1587	NA	promoter-TSS (Fkbp2)	-promoter-TSS (Fkbp2)	233	LOC114841036	LOC114841036	NM_001370419			LOC114841036			NA
liver_14_5_REP1.mLb.clN_peak_1451	chr19	60874107	60874877	+	1579	NA	promoter-TSS (Prdx3)	-promoter-TSS (Prdx3)	46	Prdx3	Prdx3	NM_007452			Prdx3			NA
liver_14_5_REP1.mLb.clN_peak_1452	chr19	60889344	60890477	+	1572	NA	exon (Grk5, exon 1 of 16)	-exon (Grk5, exon 1 of 16)	161	Grk5	Grk5	NM_018869			Grk5			NA
liver_14_5_REP1.mLb.clN_peak_1122	chr19	36409311	36410250	+	1568	NA	promoter-TSS (Pcgf5)	-promoter-TSS (Pcgf5)	30713	Pcgf5	Pcgf5	NM_001368691			Pcgf5			NA
liver_14_5_REP1.mLb.clN_peak_939	chr19	11911863	11912978	+	1568	NA	promoter-TSS (Patl1)	-promoter-TSS (Patl1)	21	Patl1	Patl1	NM_172635			Patl1			NA
liver_14_5_REP1.mLb.clN_peak_871	chr19	8722889	8723519	+	1554	NA	promoter-TSS (Snhg1)	-promoter-TSS (Snhg1)	-283	Snhg1	Snhg1	NR_002896			Snhg1			NA
