# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "6" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "liver_14_5_REP1.mLb.clN.sorted.bam" "liver_15_5_REP2.mLb.clN.sorted.bam" "kidney_14_5_REP1.mLb.clN.sorted.bam" "liver_15_5_REP1.mLb.clN.sorted.bam" "kidney_15_5_REP1.mLb.clN.sorted.bam" "kidney_14_5_REP2.mLb.clN.sorted.bam" "kidney_15_5_REP2.mLb.clN.sorted.bam" "liver_14_5_REP2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	liver_14_5_REP1.mLb.clN.sorted.bam	liver_15_5_REP2.mLb.clN.sorted.bam	kidney_14_5_REP1.mLb.clN.sorted.bam	liver_15_5_REP1.mLb.clN.sorted.bam	kidney_15_5_REP1.mLb.clN.sorted.bam	kidney_14_5_REP2.mLb.clN.sorted.bam	kidney_15_5_REP2.mLb.clN.sorted.bam	liver_14_5_REP2.mLb.clN.sorted.bam
Interval_1	chr18	3166613	3166877	+	265	2	2	4	3	9	1	5	6
Interval_2	chr18	3248831	3249131	+	301	8	7	5	8	5	7	11	20
Interval_3	chr18	3270287	3271129	+	843	123	68	15	129	16	16	19	446
Interval_4	chr18	3280577	3282022	+	1446	45	65	113	99	207	210	233	179
Interval_5	chr18	3336690	3338116	+	1427	960	954	384	1515	723	785	761	3112
Interval_6	chr18	3358927	3359253	+	327	6	2	3	10	8	12	19	11
Interval_7	chr18	3382717	3383857	+	1141	186	200	144	287	266	268	292	665
Interval_8	chr18	3443881	3444296	+	416	8	8	5	7	20	11	15	7
Interval_9	chr18	3463832	3464432	+	601	5	8	17	7	41	43	35	15
Interval_10	chr18	3495576	3495873	+	298	2	2	27	2	16	33	23	15
Interval_11	chr18	3499099	3499483	+	385	3	0	9	6	12	29	22	11
Interval_12	chr18	3507153	3508400	+	1248	332	316	349	462	621	691	623	875
Interval_13	chr18	3561226	3561549	+	324	5	0	4	2	13	8	23	6
Interval_14	chr18	3616054	3617264	+	1211	15	13	72	12	165	130	179	26
Interval_15	chr18	3653071	3653877	+	807	1	4	8	4	44	30	50	11
Interval_16	chr18	3666185	3667785	+	1601	46	42	91	107	129	163	147	125
Interval_17	chr18	3765087	3765600	+	514	4	1	15	8	25	11	19	10
Interval_18	chr18	3806312	3807492	+	1181	7	6	25	8	85	69	88	15
Interval_19	chr18	3839467	3840285	+	819	49	72	38	119	70	72	68	126
Interval_20	chr18	3840731	3841237	+	507	6	8	17	8	54	58	46	7
Interval_21	chr18	3867440	3868055	+	616	2	1	13	6	23	34	48	7
Interval_22	chr18	3893193	3893880	+	688	4	8	20	10	33	21	45	8
Interval_23	chr18	3933873	3934122	+	250	11	4	6	11	13	7	5	13
Interval_24	chr18	3945329	3945837	+	509	7	9	6	23	6	13	16	10
Interval_25	chr18	3953964	3954374	+	411	6	9	9	21	7	7	8	15
Interval_26	chr18	3989839	3990212	+	374	2	1	7	8	15	11	22	4
Interval_27	chr18	4002487	4003684	+	1198	3	6	23	10	41	48	56	9
Interval_28	chr18	4020464	4020796	+	333	2	1	6	2	7	19	9	9
Interval_29	chr18	4043811	4044083	+	273	1	0	1	2	14	11	9	3
Interval_30	chr18	4066437	4066850	+	414	1	9	8	5	19	4	19	15
Interval_31	chr18	4075215	4075498	+	284	1	2	2	2	10	9	6	3
Interval_32	chr18	4088034	4088349	+	316	3	2	10	4	18	17	20	9
Interval_33	chr18	4095910	4096297	+	388	4	0	9	3	24	24	21	4
Interval_34	chr18	4100166	4100440	+	275	3	2	7	5	22	15	27	3
Interval_35	chr18	4128007	4128511	+	505	4	3	17	4	27	34	31	14
Interval_36	chr18	4136907	4138061	+	1155	6	6	38	11	40	70	82	16
Interval_37	chr18	4176954	4178118	+	1165	14	13	35	30	61	64	62	44
Interval_38	chr18	4186234	4187606	+	1373	14	11	77	19	135	171	183	22
Interval_39	chr18	4193198	4194687	+	1490	5	4	56	5	90	103	96	14
Interval_40	chr18	4219743	4220147	+	405	3	3	8	2	14	7	26	2
Interval_41	chr18	4232799	4233479	+	681	7	5	28	4	59	56	66	9
Interval_42	chr18	4238952	4239396	+	445	18	20	12	24	13	21	14	48
Interval_43	chr18	4249673	4250772	+	1100	9	6	49	5	50	64	60	23
Interval_44	chr18	4265996	4266662	+	667	15	23	8	35	16	19	20	40
Interval_45	chr18	4276760	4277112	+	353	4	11	5	5	6	2	6	5
Interval_46	chr18	4313736	4314251	+	516	13	7	11	34	14	21	23	39
Interval_47	chr18	4330783	4331077	+	295	3	2	9	4	13	22	18	5
Interval_48	chr18	4336508	4337270	+	763	14	13	22	23	36	40	61	27
Interval_49	chr18	4352776	4353668	+	893	39	62	102	133	161	182	179	114
Interval_50	chr18	4363759	4364252	+	494	4	2	12	10	40	30	31	12
Interval_51	chr18	4369170	4369872	+	703	17	10	20	21	29	25	28	63
Interval_52	chr18	4375366	4376192	+	827	60	65	74	108	91	111	96	221
Interval_53	chr18	4439744	4440433	+	690	23	33	27	38	46	48	48	94
Interval_54	chr18	4514319	4515249	+	931	10	17	40	20	74	66	82	27
Interval_55	chr18	4518737	4519070	+	334	2	2	16	5	32	34	28	8
Interval_56	chr18	4549424	4550296	+	873	7	9	33	8	17	47	39	11
Interval_57	chr18	4554480	4555584	+	1105	20	29	11	39	12	10	15	88
Interval_58	chr18	4558757	4559294	+	538	7	8	19	10	27	30	36	22
Interval_59	chr18	4570766	4571252	+	487	11	10	17	18	21	15	29	20
Interval_60	chr18	4595134	4595517	+	384	6	12	5	22	3	7	6	18
Interval_61	chr18	4634688	4635780	+	1093	123	143	161	171	243	252	306	416
Interval_62	chr18	4636076	4636923	+	848	45	49	43	64	94	99	99	160
Interval_63	chr18	4644504	4644900	+	397	16	32	8	40	8	9	9	40
Interval_64	chr18	4689507	4690151	+	645	4	14	22	6	33	34	38	22
Interval_65	chr18	4709745	4710154	+	410	1	1	17	4	25	35	18	7
Interval_66	chr18	4715868	4716076	+	209	1	1	14	3	7	11	13	9
Interval_67	chr18	4734161	4734392	+	232	1	0	6	3	10	10	16	4
Interval_68	chr18	4736409	4736718	+	310	3	6	5	4	22	21	21	3
Interval_69	chr18	4757697	4758164	+	468	6	6	29	11	34	51	32	10
Interval_70	chr18	4758458	4758752	+	295	2	1	8	6	18	18	24	5
Interval_71	chr18	4775378	4775846	+	469	4	5	6	6	17	12	29	10
Interval_72	chr18	4785324	4785793	+	470	1	3	16	6	30	21	31	10
Interval_73	chr18	4796309	4796802	+	494	3	6	15	10	22	29	28	11
Interval_74	chr18	4804090	4804343	+	254	5	5	8	18	6	7	14	15
Interval_75	chr18	4818109	4818351	+	243	2	8	9	4	9	17	16	2
Interval_76	chr18	4839971	4840225	+	255	1	5	12	6	10	13	22	3
Interval_77	chr18	4845347	4845687	+	341	5	1	6	8	10	24	12	7
Interval_78	chr18	4847552	4847863	+	312	3	3	11	16	4	4	5	7
Interval_79	chr18	4853932	4854232	+	301	4	5	6	4	9	13	13	5
Interval_80	chr18	4862365	4862905	+	541	32	33	15	57	14	19	14	131
Interval_81	chr18	4866617	4866951	+	335	20	14	8	20	3	6	9	59
Interval_82	chr18	4869518	4870317	+	800	7	9	46	17	56	93	88	13
Interval_83	chr18	4872544	4872783	+	240	0	2	10	4	21	14	22	3
Interval_84	chr18	4920141	4922696	+	2556	349	381	326	557	434	484	447	1235
Interval_85	chr18	4937987	4938670	+	684	30	32	10	45	10	11	15	92
Interval_86	chr18	4943731	4945163	+	1433	224	264	28	400	39	32	51	757
Interval_87	chr18	4970002	4970317	+	316	5	11	8	4	3	4	7	9
Interval_88	chr18	4970740	4971246	+	507	13	17	30	29	27	41	33	37
Interval_89	chr18	4975075	4975369	+	295	5	3	6	9	25	9	20	10
Interval_90	chr18	4980347	4980980	+	634	9	9	36	17	47	50	49	25
Interval_91	chr18	4982303	4982574	+	272	1	4	5	4	9	16	13	4
Interval_92	chr18	4986920	4987254	+	335	7	4	7	13	17	12	14	18
Interval_93	chr18	4993681	4994947	+	1267	34	71	90	104	133	142	135	64
Interval_94	chr18	5007738	5008272	+	535	3	16	18	30	43	40	40	29
Interval_95	chr18	5014377	5015110	+	734	4	13	32	10	31	38	34	12
Interval_96	chr18	5020229	5020632	+	404	11	7	17	9	16	15	22	36
Interval_97	chr18	5020675	5020939	+	265	2	4	7	12	9	8	11	13
Interval_98	chr18	5063272	5063529	+	258	2	3	3	3	6	9	18	5
Interval_99	chr18	5091004	5091414	+	411	3	4	10	3	12	8	23	11
Interval_100	chr18	5092280	5093001	+	722	14	25	13	46	19	25	31	43
Interval_101	chr18	5098509	5098964	+	456	29	16	4	40	8	4	13	98
Interval_102	chr18	5102593	5103080	+	488	9	14	10	27	11	6	10	19
Interval_103	chr18	5107157	5108027	+	871	5	10	32	12	46	52	45	20
Interval_104	chr18	5124763	5125043	+	281	5	1	11	4	14	18	12	9
Interval_105	chr18	5133912	5134515	+	604	9	21	17	28	38	37	31	34
Interval_106	chr18	5141459	5141947	+	489	17	15	26	38	23	34	40	37
Interval_107	chr18	5142318	5143246	+	929	27	24	80	43	82	122	100	74
Interval_108	chr18	5161885	5163744	+	1860	50	71	196	90	219	328	283	132
Interval_109	chr18	5186219	5187730	+	1512	13	16	64	18	77	93	99	40
Interval_110	chr18	5198648	5198924	+	277	3	1	10	2	18	29	21	4
Interval_111	chr18	5199213	5200172	+	960	12	2	39	6	52	54	65	16
Interval_112	chr18	5207604	5208237	+	634	1	5	21	4	30	54	37	3
Interval_113	chr18	5283775	5284233	+	459	3	3	21	2	26	37	33	10
Interval_114	chr18	5298878	5299609	+	732	2	5	24	4	32	62	47	12
Interval_115	chr18	5322196	5322450	+	255	5	5	7	6	10	14	3	7
Interval_116	chr18	5333732	5335211	+	1480	434	465	407	883	548	650	559	1611
Interval_117	chr18	5340713	5341681	+	969	11	6	79	15	101	119	79	29
Interval_118	chr18	5342540	5342941	+	402	2	5	27	5	30	49	36	5
Interval_119	chr18	5349295	5349723	+	429	14	20	18	35	13	12	20	32
Interval_120	chr18	5351242	5351610	+	369	11	7	24	14	8	4	15	17
Interval_121	chr18	5364829	5365143	+	315	6	12	6	34	6	0	3	36
Interval_122	chr18	5371856	5372308	+	453	3	7	33	13	39	56	42	20
Interval_123	chr18	5373084	5374423	+	1340	25	32	73	74	88	100	98	66
Interval_124	chr18	5388481	5389416	+	936	85	164	21	326	28	26	37	364
Interval_125	chr18	5389944	5390612	+	669	73	168	25	264	50	43	58	254
Interval_126	chr18	5395946	5396393	+	448	7	6	20	8	47	40	68	11
Interval_127	chr18	5414185	5415023	+	839	8	9	30	20	47	66	63	17
Interval_128	chr18	5427550	5429286	+	1737	16	31	162	33	229	307	237	60
Interval_129	chr18	5440324	5441514	+	1191	17	23	42	34	60	69	62	57
Interval_130	chr18	5536989	5537437	+	449	6	5	8	9	18	18	19	20
Interval_131	chr18	5590676	5590896	+	221	2	3	8	9	14	9	23	19
