"X.1","Chromosome","Start","End","X","mean.mean.g1","mean.mean.g2","mean.mean.diff","mean.mean.quot.log2","comb.p.val","comb.p.adj.fdr","num.sites","mean.num.na.g1","mean.num.na.g2","mean.mean.covg.g1","mean.mean.covg.g2","mean.nsamples.covg.thresh.g1","mean.nsamples.covg.thresh.g2","combinedRank","Strand","name","value","overlap_kidney_Het","overlap_liver_Het","overlap_any_Het","overlap_both_Het","overlap_kidney_specific_ATAC","overlap_liver_specific_ATAC","overlap_any_differential_ATAC","DMR_direction"
1,"chr18",3039424,3040223,1,0.791808427481868,0.586783377379066,0.205025050102803,0.463427208733393,0.0010791184405906,0.00452247274457616,12,0,0,41.7916666666667,42.6458333333333,4,4,3262,"+","Interval_1",0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
2,"chr18",3040887,3041151,2,0.767432770953668,0.571033417814422,0.196399353139246,0.441593397970189,0.0010746111124036,0.00452240072478466,5,0,0,42,41.2,4,4,3357,"+","Interval_2",0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
3,"chr18",3115558,3116159,3,0.90810545681923,0.777178018795795,0.130927438023435,0.221274006218713,0.0186006067901651,0.037885558079405,12,0.333333333333333,0.25,26.25,26.75,3,2.83333333333333,4530,"+","Interval_3",0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
4,"chr18",3117492,3119082,4,0.907357542834527,0.736206473247548,0.166275150788796,0.296657446278166,0.00292083309252649,0.00928531782388788,20,0.15,0.2,41.05,41.6625,3.45,3.4,4098,"+","Interval_4",0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
5,"chr18",3166613,3166877,5,0.875416666666667,0.590619918699187,0.28479674796748,0.559904209701172,0.000287402916734851,0.00184719860278927,1,0,0,40.5,43.75,4,4,2896,"+","Interval_5",0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
6,"chr18",3270287,3271129,7,0.685851466480221,0.132092285847864,0.553759180632357,2.41148824219702,7.44355452555836e-06,0.000245436009625833,4,0,0,25.9375,28.75,4,4,283,"+","Interval_7",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
16,"chr18",3616054,3617264,18,0.357343562906277,0.561036872749,-0.203693309842723,-1.0029576388626,0.00633005664527124,0.0167088479747387,6,0,0,29.6666666666667,31.4583333333333,4,4,2328,"+","Interval_18",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
18,"chr18",3666185,3667785,20,0.236874245044007,0.0710539631471115,0.165820281896896,2.14234829117059,0.00102304927217856,0.00437822964287642,9,0,0,31.0555555555556,30.6666666666667,4,4,2648,"+","Interval_20",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
20,"chr18",3806312,3807492,22,0.451578676641017,0.490649250174171,-0.0390705735331549,-0.353861832859642,0.00588418697183368,0.0157965613551411,7,0,0,33.1785714285714,32.7142857142857,4,4,4484,"+","Interval_22",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
21,"chr18",3839467,3840285,23,0.451215530131157,0.499278638941426,-0.0480631088102683,-0.474690282897762,0.00534076828819578,0.0145992086881508,7,0,0,27.3214285714286,25.6785714285714,4,4,4328,"+","Interval_23",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
22,"chr18",3840731,3841237,24,0.162400348507799,0.43413069033558,-0.271730341827782,-1.43511089281158,0.000256591311014153,0.00171386261541518,3,0,0,26.6666666666667,30,4,4,1555,"+","Interval_24",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
23,"chr18",3867440,3868055,25,0.112645296158227,0.291250440933197,-0.17860514477497,-1.216187097046,0.00958044552310399,0.0229251704592967,2,0,0,27.125,29.5,4,4,2568,"+","Interval_25",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
24,"chr18",3893193,3893880,26,0.783968278253774,0.667367500479203,0.116600777774571,0.229142598719645,0.00998372581193351,0.0235327944435487,1,0,0,39.25,38.5,4,4,4481,"+","Interval_26",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
25,"chr18",3933873,3934122,27,0.788757841290088,0.2874729151474,0.501284926142688,1.62484687168908,0.00072682446714934,0.00347574813278809,3,0,0,22.5833333333333,20.5,3.66666666666667,4,1285,"+","Interval_27",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
27,"chr18",3953964,3954374,29,0.801315789473684,0.408039661487937,0.393276127985747,0.956623741370714,0.000212832907520088,0.00150155937624678,1,0,0,29.25,29.25,4,4,1811,"+","Interval_29",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
30,"chr18",4020464,4020796,32,0.683100664742848,0.510948863736901,0.172151801005947,0.421649840532033,0.0138588566975624,0.030393531194333,5,0,0,35.3,32.6,4,4,3451,"+","Interval_32",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
31,"chr18",4043811,4044083,33,0.275032091973089,0.613488138363466,-0.338456046390377,-1.14799841928987,0.00022963913544596,0.0015849659610535,2,0,0,34.625,30.875,4,4,1448,"+","Interval_33",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
32,"chr18",4066437,4066850,34,0.937697386757026,0.725687355097926,0.212010031659101,0.368440082976128,0.0128566247726193,0.0287277763041937,2,0,0,28.5,24.875,4,4,3685,"+","Interval_34",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
33,"chr18",4075215,4075498,35,0.879795396419437,0.505,0.374795396419437,0.788901202091041,0.000221070496311614,0.00154724168546113,1,0,0,21.5,21.75,4,4,2217,"+","Interval_35",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
34,"chr18",4088034,4088349,36,0.739492777760034,0.577349709510444,0.16214306824959,0.350585432598537,0.0105706481220355,0.024632776909332,3,0,0,33,33.5,4,4,3792,"+","Interval_36",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
