PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_5816	chr19	53500245	53500885	+	0	NA	Intergenic	Intergenic	-28580	Dusp5	Dusp5	NM_001085390			Dusp5			NA
Interval_1928	chr18	56840321	56840936	+	0	NA	intron (Marchf3, intron 1 of 4)	-intron (Marchf3, intron 1 of 4)	84887	Marchf3	Marchf3	NM_001374227			Marchf3			NA
Interval_2496	chr18	68009504	68010132	+	0	NA	intron (Ldlrad4, intron 1 of 5)	-intron (Ldlrad4, intron 1 of 5)	76645	Ldlrad4	Ldlrad4	NM_172631			Ldlrad4			NA
Interval_2237	chr18	62977369	62978495	+	0	NA	promoter-TSS (Napg)	-promoter-TSS (Napg)	16	Napg	Napg	NM_028017			Napg			NA
Interval_2046	chr18	60507153	60507631	+	0	NA	Intergenic	Intergenic	-5409	Smim3	Smim3	NM_134133			Smim3			NA
Interval_4119	chr19	14258722	14259534	+	0	NA	Intergenic	Intergenic	176822	Gm8630	Gm8630	NR_152176			Gm8630			NA
Interval_5553	chr19	46503492	46504272	+	0	NA	intron (Trim8, intron 1 of 5)	-intron (Trim8, intron 1 of 5)	2234	Trim8	Trim8	NM_053100			Trim8			NA
Interval_1096	chr18	34788365	34788796	+	0	NA	intron (Kdm3b, intron 1 of 23)	-intron (Kdm3b, intron 1 of 23)	11572	Kdm3b	Kdm3b	NM_001081256			Kdm3b			NA
Interval_2521	chr18	68230052	68231020	+	0	NA	intron (Ldlrad4, intron 1 of 3)	-intron (Ldlrad4, intron 1 of 3)	30437	Mir7219	Mir7219	NR_106078			Mir7219			NA
Interval_4280	chr19	18200033	18200857	+	0	NA	Intergenic	Intergenic	-362813	Pcsk5	Pcsk5	NM_001163144			Pcsk5			NA
Interval_5205	chr19	41627900	41628148	+	0	NA	intron (Slit1, intron 22 of 36)	-intron (Slit1, intron 22 of 36)	39373	Mir8091	Mir8091	NR_106166			Mir8091			NA
Interval_3296	chr18	84407571	84407799	+	0	NA	intron (Zfp407, intron 4 of 8)	-intron (Zfp407, intron 4 of 8)	181819	Zfp407	Zfp407	NM_001033341			Zfp407			NA
Interval_3883	chr19	8785785	8786772	+	0	NA	promoter-TSS (Taf6l)	-promoter-TSS (Taf6l)	38	Taf6l	Taf6l	NM_146092			Taf6l			NA
Interval_2412	chr18	66410509	66411011	+	0	NA	Intergenic	Intergenic	-47844	Pmaip1	Pmaip1	NM_021451			Pmaip1			NA
Interval_4570	chr19	25688333	25688609	+	0	NA	Intergenic	Intergenic	16060	Dmrt2	Dmrt2	NM_145831			Dmrt2			NA
Interval_2720	chr18	73997320	73997781	+	0	NA	intron (Mapk4, intron 1 of 5)	-intron (Mapk4, intron 1 of 5)	-20357	D730045A05Rik	D730045A05Rik	NR_045390			D730045A05Rik			NA
Interval_5408	chr19	44723934	44724474	+	0	NA	Intergenic	Intergenic	-32702	Pax2	Pax2	NM_001368747			Pax2			NA
Interval_666	chr18	21437976	21438349	+	0	NA	Intergenic	Intergenic	-138023	Garem1	Garem1	NM_001033445			Garem1			NA
Interval_4409	chr19	22762304	22762603	+	0	NA	intron (Trpm3, intron 7 of 8)	-intron (Trpm3, intron 6 of 24)	11848	Mir204	Mir204	NR_029591			Mir204			NA
Interval_2579	chr18	69586266	69586645	+	0	NA	intron (Tcf4, intron 8 of 19)	-intron (Tcf4, intron 8 of 19)	241963	Tcf4	Tcf4	NM_001361126			Tcf4			NA
Interval_3502	chr19	3999965	4001400	+	0	NA	exon (Nudt8, exon 1 of 4)	-exon (Nudt8, exon 1 of 4)	102	Nudt8	Nudt8	NM_025529			Nudt8			NA
Interval_3074	chr18	80295485	80296446	+	0	NA	exon (Kcng2, exon 4 of 4)	-exon (Kcng2, exon 4 of 4)	39659	Slc66a2	Slc66a2	NM_025861			Slc66a2			NA
Interval_2531	chr18	68440671	68441197	+	0	NA	Intergenic	Intergenic	-11614	Mc2r	Mc2r	NM_008560			Mc2r			NA
Interval_342	chr18	11327059	11327580	+	0	NA	Intergenic	Intergenic	-274752	Gata6os	Gata6os	NR_105023			Gata6os			NA
Interval_4578	chr19	26014804	26015024	+	0	NA	Intergenic	Intergenic	342503	Dmrt2	Dmrt2	NM_145831			Dmrt2			NA
Interval_2532	chr18	68499112	68499367	+	0	NA	Intergenic	Intergenic	-69919	Mc2r	Mc2r	NM_008560			Mc2r			NA
Interval_1528	chr18	44661260	44662841	+	0	NA	exon (Mcc, exon 1 of 17)	-exon (Mcc, exon 1 of 17)	216	Mcc	Mcc	NM_001085373			Mcc			NA
Interval_4524	chr19	25035627	25036266	+	0	NA	intron (Dock8, intron 1 of 47)	-intron (Dock8, intron 1 of 47)	36417	Dock8	Dock8	NM_028785			Dock8			NA
Interval_3303	chr18	84496564	84496859	+	0	NA	intron (Zfp407, intron 3 of 8)	-intron (Zfp407, intron 3 of 8)	92793	Zfp407	Zfp407	NM_001033341			Zfp407			NA
Interval_464	chr18	13843304	13843716	+	0	NA	intron (Zfp521, intron 4 of 7)	-intron (Zfp521, intron 4 of 7)	129223	Zfp521	Zfp521	NM_001360804			Zfp521			NA
Interval_522	chr18	15247540	15248239	+	0	NA	Intergenic	Intergenic	-96443	Kctd1	Kctd1	NM_134112			Kctd1			NA
Interval_142	chr18	5819367	5820567	+	0	NA	Intergenic	Intergenic	-227530	Gm10125	Gm10125	NR_033552			Gm10125			NA
Interval_4165	chr19	15946735	15947282	+	0	NA	Intergenic	Intergenic	-21949	Psat1	Psat1	NM_177420			Psat1			NA
Interval_5436	chr19	44989931	44991456	+	0	NA	intron (Sema4g, intron 1 of 14)	-intron (Sema4g, intron 1 of 14)	1349	Sema4g	Sema4g	NM_011976			Sema4g			NA
Interval_3099	chr18	80707639	80708703	+	0	NA	promoter-TSS (Nfatc1)	-promoter-TSS (Nfatc1)	4900	Nfatc1	Nfatc1	NM_198429			Nfatc1			NA
Interval_4430	chr19	23273275	23274478	+	0	NA	promoter-TSS (Smc5)	-promoter-TSS (Smc5)	21	Smc5	Smc5	NM_153808			Smc5			NA
Interval_4701	chr19	29419845	29420131	+	0	NA	intron (Pdcd1lg2, intron 1 of 5)	-intron (Pdcd1lg2, intron 1 of 5)	9069	Pdcd1lg2	Pdcd1lg2	NM_021396			Pdcd1lg2			NA
Interval_5196	chr19	41482222	41483652	+	0	NA	intron (Lcor, intron 1 of 7)	-intron (Lcor, intron 1 of 7)	-42315	Morf4l1b	Morf4l1b	NM_001326287			Morf4l1b			NA
Interval_2943	chr18	77570719	77571045	+	0	NA	Intergenic	Intergenic	-5746	Rnf165	Rnf165	NM_001164504			Rnf165			NA
Interval_1567	chr18	46427341	46427620	+	0	NA	Intergenic	Intergenic	38336	Mospd4	Mospd4	NR_045438			Mospd4			NA
Interval_5790	chr19	53310353	53311131	+	0	NA	promoter-TSS (Mxi1)	-promoter-TSS (Mxi1)	-18671	Mxi1	Mxi1	NM_001008543			Mxi1			NA
Interval_1815	chr18	54343127	54343342	+	0	NA	Intergenic	Intergenic	-79061	Redrum	Redrum	NR_040338			Redrum			NA
Interval_1220	chr18	36663961	36664216	+	0	NA	promoter-TSS (Eif4ebp3)	-promoter-TSS (Eif4ebp3)	28	Eif4ebp3	Eif4ebp3	NM_201256			Eif4ebp3			NA
Interval_4061	chr19	11776644	11777001	+	0	NA	TTS (Stx3)	-TTS (Stx3)	6407	Mrpl16	Mrpl16	NM_025606			Mrpl16			NA
Interval_4939	chr19	34844842	34845136	+	0	NA	intron (Pank1, intron 1 of 6)	-intron (Pank1, intron 1 of 6)	-24216	Mir107	Mir107	NR_029783			Mir107			NA
Interval_3484	chr19	3831690	3832391	+	0	NA	Intergenic	Intergenic	18776	Gm51271	Gm51271	NR_162795			Gm51271			NA
Interval_3164	chr18	82488931	82489931	+	0	NA	intron (Mbp, intron 1 of 6)	-intron (Mbp, intron 1 of 3)	14308	Mbp	Mbp	NM_001025245			Mbp			NA
