PeakID (cmd=annotatePeaks.pl kidney_15_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
kidney_15_5_REP2.mLb.clN_peak_2183	chr19	11965071	11966157	+	3958	NA	promoter-TSS (Osbp)	-promoter-TSS (Osbp)	-230	Osbp	Osbp	NM_001033174			Osbp			NA
kidney_15_5_REP2.mLb.clN_peak_2218	chr19	14597718	14599040	+	2657	NA	promoter-TSS (Tle4)	-promoter-TSS (Tle4)	-196	Tle4	Tle4	NM_001302947			Tle4			NA
kidney_15_5_REP2.mLb.clN_peak_314	chr18	21299498	21300866	+	2568	NA	promoter-TSS (Garem1)	-promoter-TSS (Garem1)	-43	Garem1	Garem1	NM_001033445			Garem1			NA
kidney_15_5_REP2.mLb.clN_peak_479	chr18	31633878	31635284	+	2366	NA	promoter-TSS (Sap130)	-promoter-TSS (Sap130)	213	Sap130	Sap130	NM_172965			Sap130			NA
kidney_15_5_REP2.mLb.clN_peak_652	chr18	36559500	36561331	+	2336	NA	promoter-TSS (Ankhd1)	-promoter-TSS (Ankhd1)	-188	Ankhd1	Ankhd1	NM_175375			Ankhd1			NA
kidney_15_5_REP2.mLb.clN_peak_901	chr18	49755242	49756259	+	2218	NA	promoter-TSS (Dtwd2)	-promoter-TSS (Dtwd2)	-149	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
kidney_15_5_REP2.mLb.clN_peak_299	chr18	21001050	21002503	+	2214	NA	promoter-TSS (Rnf138)	-promoter-TSS (Rnf138)	-181	Rnf138	Rnf138	NM_207623			Rnf138			NA
kidney_15_5_REP2.mLb.clN_peak_93	chr18	6764674	6765657	+	2200	NA	promoter-TSS (Rab18)	-promoter-TSS (Rab18)	-2	Rab18	Rab18	NM_181070			Rab18			NA
kidney_15_5_REP2.mLb.clN_peak_775	chr18	42274927	42275907	+	2185	NA	promoter-TSS (Rbm27)	-promoter-TSS (Rbm27)	64	Rbm27	Rbm27	NM_172626			Rbm27			NA
kidney_15_5_REP2.mLb.clN_peak_91	chr18	6515875	6516611	+	2177	NA	promoter-TSS (Epc1)	-promoter-TSS (Epc1)	-25386	Epc1	Epc1	NM_027497			Epc1			NA
kidney_15_5_REP2.mLb.clN_peak_905	chr18	49832165	49833189	+	2163	NA	promoter-TSS (Dmxl1)	-promoter-TSS (Dmxl1)	-320	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
kidney_15_5_REP2.mLb.clN_peak_1866	chr19	4509952	4510800	+	2145	NA	promoter-TSS (Pcx)	-promoter-TSS (Pcx)	-11793	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
